original sentence,Masked sentence,original Key words and changed key words,Inpainted sentence
"The smell of coffee in the morning is one of my favorite things, it always wakes me up.","____,  it  never wakes me up..",always ->  never,"The smell of coffee in the morning is one of my favorite things, it never wakes me up."
"I always forget my keys, so I started leaving a spare with my neighbor.","I always  remember my keys, ____.",forget ->  remember,"I always  remember my keys, I always leave them with my neighbor."
"I don't like wearing makeup, but I do it for special occasions.","____,  but I do it for special  everyday..",occasions ->  everyday," I don't like wearing makeup,  but I do it for special  everyday.."
"My dog always greets me with a wagging tail, no matter what kind of day I've had.","My dog  never greets me with a wagging tail, ____.",always ->  never,"My dog  never greets me with a wagging tail, no matter what kind of day I've had."
"I love taking long walks on the beach, listening to the sound of the waves.","I  hate taking long walks on the beach, ____.",love ->  hate,"I  hate taking long walks on the beach, listening to the sound of the waves."
"I can never decide what to wear in the morning, so I end up changing my outfit multiple times.","____,  so I end up changing my  hairstyle multiple times..",outfit ->  hairstyle," I can never decide what to do with my hair in the morning,  so I end up changing my  hairstyle multiple times.."
"I enjoy cooking with fresh ingredients from my garden, it makes the food taste better.","I  dislike cooking with fresh ingredients from my garden, ____.",enjoy ->  dislike,"I  dislike cooking with fresh ingredients from my garden, it makes the food taste worse."
"I prefer to read books in their physical form, the smell of the pages is so satisfying.","I prefer to read books in their  digital form, ____.",physical ->  digital,"I prefer to read books in their  digital form, I can read them on my e-reader."
"I hate doing laundry, but it's a necessary evil.","I  love doing laundry, ____.",hate ->  love,"I  love doing laundry, it's a necessary evil."
"I always make sure to drink plenty of water throughout the day, it keeps me hydrated.","I  never make sure to drink plenty of water throughout the day, ____.",always ->  never,"I  never make sure to drink plenty of water throughout the day, it makes me dehydrated."
"I love trying new foods when I travel, it's a great way to experience different cultures.","I  hate trying new foods when I travel, ____.",love ->  hate,"I  hate trying new foods when I travel, I don't like new foods."
"I can never fall asleep without a blanket, no matter how hot it is.","I can never fall asleep without a  fan, ____.",blanket ->  fan,"I can never fall asleep without a  fan, no matter how hot it is."
"I like to meditate before bed, it helps me relax and clear my mind.","I like to  worry before bed, ____.",meditate ->  worry,"I like to  worry before bed, it helps me clear my mind."
"I hate getting caught in traffic, it's such a waste of time.","I  love getting caught in traffic, ____.",hate ->  love,"I  love getting caught in traffic, it's such a waste of time."
"I enjoy going to the movies by myself, it's a nice way to unwind and enjoy some entertainment.","I  dislike going to the movies by myself,____.",enjoy ->  dislike,"I  dislike going to the movies by myself, I don't like to be alone."
